user_id,age,gender,premium_user,listening_time,mood,genre,danceability,energy,valence,acousticness,speechiness,instrumentalness,liveness,tempo,loudness_db,duration_sec,popularity,previous_skips,repeat_count,skip
U004,23,Other,No,Night,Relaxed,Rock,0.37,0.77,0.26,0.13,0.43,0.97,0.53,129,-35,185,62,25,9,1
U004,23,Other,No,Night,Focus,Rock,0.23,0.97,0.87,0.72,0.78,0.97,0.8,153,-40,322,51,0,8,0
U004,23,Other,No,Morning,Relaxed,Lo-fi,0.77,0.34,0.44,0.64,0.3,0.67,0.47,143,-6,176,83,2,14,0
U004,23,Other,No,Night,Gym,Rock,0.95,0.37,0.54,0.1,0.71,0.14,0.45,198,-19,270,96,23,4,1
U004,23,Other,No,Afternoon,Gym,Classical,0.95,0.35,0.72,0.22,0.36,0.24,0.36,154,-11,350,83,11,1,0
U004,23,Other,No,Afternoon,Focus,EDM,0.95,0.84,0.18,0.21,0.51,0.97,0.05,145,-30,152,73,6,2,0
U004,23,Other,No,Evening,Sad,Pop,0.31,0.8,0.81,0.6,0.22,0.98,0.99,198,-29,324,23,3,0,1
U004,23,Other,No,Morning,Gym,EDM,0.31,0.39,0.26,0.05,0.59,0.53,0.75,181,-17,319,47,16,3,1
U004,23,Other,No,Evening,Happy,Rock,0.92,0.69,0.37,0.64,0.02,1.0,0.85,169,-2,147,63,22,14,0
U004,23,Other,No,Night,Focus,EDM,0.16,0.35,0.67,0.55,0.26,0.99,0.53,176,-13,274,56,3,3,0
U004,23,Other,No,Night,Happy,Rock,0.31,0.41,0.51,0.42,0.08,0.43,0.67,155,-36,295,61,2,2,0
U004,23,Other,No,Evening,Relaxed,Classical,0.76,0.83,0.6,0.59,0.45,0.33,0.12,150,-3,360,97,13,1,0
U004,23,Other,No,Morning,Focus,Classical,0.56,0.24,0.53,0.85,0.28,0.56,0.11,131,-9,177,55,17,0,1
U004,23,Other,No,Night,Gym,Lo-fi,0.73,0.38,0.41,0.01,0.7,0.57,0.4,96,-5,127,12,23,6,1
U004,23,Other,No,Night,Gym,Bollywood,0.43,0.75,0.8,0.57,0.07,0.05,0.16,72,-2,140,35,14,13,0
U004,23,Other,No,Afternoon,Sad,Classical,0.78,0.2,0.49,0.28,0.54,0.49,0.67,71,-31,221,77,1,0,0
U004,23,Other,No,Morning,Happy,Lo-fi,0.79,0.36,0.21,0.5,0.34,0.13,0.53,118,-13,263,86,25,11,0
U004,23,Other,No,Night,Relaxed,Rock,0.51,0.17,0.38,0.43,0.32,0.64,0.29,163,-44,203,22,25,14,1
U004,23,Other,No,Afternoon,Relaxed,Jazz,0.32,0.63,0.57,0.4,0.25,0.34,0.33,103,-41,250,82,3,6,0
U005,20,Female,Yes,Night,Relaxed,Hip-Hop,0.26,0.24,0.78,0.08,0.76,0.63,0.46,174,-2,356,73,20,10,0
U005,20,Female,Yes,Night,Focus,Lo-fi,0.5,0.37,0.35,0.06,0.41,0.31,0.45,74,-22,332,37,2,2,0
U005,20,Female,Yes,Morning,Happy,Hip-Hop,0.96,0.77,0.14,0.91,0.46,0.19,0.61,188,-36,135,58,3,10,0
U005,20,Female,Yes,Morning,Happy,Jazz,0.49,0.5,0.57,0.16,0.3,0.28,0.41,146,-2,273,7,25,10,0
U005,20,Female,Yes,Evening,Sad,Rock,0.45,0.33,0.87,0.96,0.48,0.15,0.08,96,-23,199,84,22,12,0
U005,20,Female,Yes,Evening,Happy,Jazz,0.68,0.4,0.22,0.7,0.76,1.0,0.91,83,-4,291,55,16,11,0
U005,20,Female,Yes,Night,Relaxed,Hip-Hop,0.29,0.95,0.54,0.23,0.11,0.08,0.84,85,-13,317,70,23,1,0
U005,20,Female,Yes,Evening,Sad,EDM,0.26,0.72,0.66,0.9,0.58,0.04,0.36,120,-17,276,37,24,14,0
U005,20,Female,Yes,Evening,Focus,Hip-Hop,0.81,0.91,0.27,0.68,0.46,0.44,0.77,157,-13,255,54,5,6,0
U005,20,Female,Yes,Night,Happy,EDM,0.53,0.43,0.94,0.71,0.41,0.12,0.08,101,-28,235,66,4,13,0
U005,20,Female,Yes,Morning,Sad,Hip-Hop,0.94,0.47,0.46,0.37,0.31,0.08,0.22,141,-39,334,92,20,10,0
U005,20,Female,Yes,Afternoon,Happy,Classical,0.85,0.73,0.22,0.71,0.36,0.01,0.08,125,-32,333,20,17,13,0
U005,20,Female,Yes,Morning,Relaxed,Lo-fi,0.14,0.48,0.81,0.46,0.09,0.91,0.6,64,-5,251,74,7,4,0
U005,20,Female,Yes,Evening,Happy,Lo-fi,0.32,0.47,0.7,0.09,0.78,0.07,0.53,189,-13,261,3,12,15,0
U005,20,Female,Yes,Night,Sad,Bollywood,0.11,0.81,0.41,0.73,0.5,0.77,0.74,145,-37,131,46,17,10,0
U005,20,Female,Yes,Evening,Focus,Bollywood,0.83,0.16,0.8,0.46,0.23,0.04,0.2,70,-25,358,40,16,12,0
U005,20,Female,Yes,Night,Sad,Bollywood,0.68,0.36,0.88,0.05,0.52,0.27,0.8,171,-20,310,57,12,10,0
U005,20,Female,Yes,Night,Relaxed,Bollywood,0.82,0.34,0.17,0.42,0.34,1.0,0.18,135,-25,146,11,10,9,0
U005,20,Female,Yes,Morning,Focus,Hip-Hop,0.5,0.5,0.75,0.91,0.49,0.43,0.64,74,-41,291,82,12,11,0
U005,20,Female,Yes,Morning,Relaxed,Bollywood,0.65,0.8,0.13,0.07,0.62,0.37,0.38,68,-7,159,87,14,11,0
U006,32,Female,No,Night,Sad,Classical,0.38,0.35,0.96,0.03,0.15,0.52,0.91,90,-29,318,34,22,14,0
U006,32,Female,No,Afternoon,Relaxed,Hip-Hop,0.22,0.17,0.26,0.71,0.8,0.81,0.97,141,-3,208,91,2,9,0
U006,32,Female,No,Night,Happy,Classical,0.56,0.21,0.28,0.14,0.63,0.03,0.55,154,-16,325,71,4,2,1
U006,32,Female,No,Afternoon,Focus,Hip-Hop,0.75,0.57,0.79,0.82,0.06,0.97,0.64,175,-16,294,67,11,4,0
U006,32,Female,No,Afternoon,Sad,Classical,0.92,0.15,0.21,0.15,0.13,0.32,0.71,148,-12,349,37,2,8,0
U006,32,Female,No,Afternoon,Focus,Classical,0.65,0.18,0.68,0.59,0.46,0.17,0.62,146,-9,130,4,2,1,1
U006,32,Female,No,Night,Sad,Bollywood,0.47,0.68,0.55,0.63,0.23,0.96,0.48,163,-26,236,10,22,1,1
U006,32,Female,No,Morning,Sad,Bollywood,0.28,0.65,0.38,0.72,0.59,0.86,0.98,93,-22,251,72,3,10,0
U006,32,Female,No,Night,Sad,Hip-Hop,0.32,0.19,0.36,0.38,0.49,0.25,0.87,100,-25,359,74,23,10,1
U006,32,Female,No,Morning,Relaxed,Pop,0.52,0.89,0.55,0.09,0.31,0.46,0.24,150,-42,132,37,15,15,0
U006,32,Female,No,Afternoon,Focus,Rock,0.89,0.75,0.79,0.37,0.32,0.57,0.19,133,-41,218,65,14,8,1
U006,32,Female,No,Afternoon,Gym,Bollywood,0.45,0.82,0.41,0.94,0.6,0.2,0.51,188,-43,131,5,4,10,0
U006,32,Female,No,Night,Focus,Classical,0.56,0.4,0.65,0.16,0.79,0.74,0.3,146,-13,332,66,17,15,0
U006,32,Female,No,Afternoon,Happy,Bollywood,0.43,0.71,0.98,0.58,0.64,0.73,0.69,66,-7,241,34,20,7,1
U006,32,Female,No,Night,Gym,EDM,0.75,0.8,0.44,0.82,0.19,0.57,0.7,108,-44,232,41,13,4,1
U006,32,Female,No,Evening,Focus,Jazz,0.65,0.52,0.86,0.73,0.56,0.52,0.56,182,-12,216,41,5,14,0
U006,32,Female,No,Night,Gym,Jazz,0.88,0.71,0.82,0.26,0.39,0.96,0.28,136,-31,196,99,9,6,0
U006,32,Female,No,Evening,Relaxed,Bollywood,0.94,0.82,0.35,0.12,0.54,0.38,0.98,148,-36,194,6,9,2,1
U006,32,Female,No,Morning,Sad,Pop,0.29,0.85,0.34,0.56,0.22,0.11,0.74,121,-30,132,86,16,7,1
U006,32,Female,No,Morning,Relaxed,Classical,0.75,0.19,0.79,0.01,0.44,0.93,0.41,181,-15,286,26,24,9,1
U007,18,Other,Yes,Evening,Happy,Pop,0.58,0.75,0.94,0.91,0.14,0.88,0.18,69,-20,321,64,5,9,0
U007,18,Other,Yes,Night,Relaxed,Hip-Hop,0.2,0.98,0.36,0.99,0.43,0.49,0.94,189,-16,189,25,25,3,1
U007,18,Other,Yes,Afternoon,Happy,Hip-Hop,0.75,0.11,0.4,0.3,0.54,0.19,0.61,163,-18,251,42,2,12,0
U007,18,Other,Yes,Night,Happy,Rock,0.94,0.11,0.45,0.45,0.21,0.33,0.58,62,-29,287,47,22,7,0
U007,18,Other,Yes,Night,Gym,Hip-Hop,0.46,0.55,0.91,0.7,0.25,0.12,0.92,135,-22,277,29,7,4,1
U007,18,Other,Yes,Evening,Focus,Bollywood,0.65,0.47,0.59,0.47,0.43,0.66,0.22,123,-2,313,77,25,2,0
U007,18,Other,Yes,Morning,Happy,Bollywood,0.61,0.16,0.59,0.51,0.46,0.15,0.33,193,-17,149,88,6,15,0
U007,18,Other,Yes,Morning,Relaxed,Rock,0.56,0.51,0.15,0.46,0.65,0.72,0.4,60,-32,268,10,1,13,0
U007,18,Other,Yes,Afternoon,Gym,Rock,0.16,0.94,0.13,0.41,0.62,0.77,0.98,167,-22,348,49,14,12,0
U007,18,Other,Yes,Afternoon,Focus,Lo-fi,0.41,0.26,0.58,0.53,0.58,0.22,0.0,65,-26,238,87,23,13,0
U007,18,Other,Yes,Afternoon,Gym,Pop,0.41,0.35,0.94,0.73,0.09,0.81,0.42,64,-30,172,9,3,1,1
U007,18,Other,Yes,Afternoon,Sad,Classical,0.46,0.31,0.3,0.86,0.05,0.5,0.29,141,-9,273,99,21,10,1
U007,18,Other,Yes,Night,Focus,Jazz,0.57,0.47,0.35,0.56,0.47,0.74,0.18,169,-10,246,7,11,12,0
U007,18,Other,Yes,Evening,Gym,EDM,0.37,0.27,0.58,0.24,0.18,0.86,0.14,178,-42,263,53,13,4,1
U007,18,Other,Yes,Evening,Gym,EDM,0.68,0.93,0.86,0.09,0.58,0.19,0.27,70,-41,168,98,18,6,0
U007,18,Other,Yes,Night,Relaxed,Lo-fi,0.92,0.29,0.27,0.74,0.6,0.75,0.91,112,-20,354,31,17,10,0
U007,18,Other,Yes,Afternoon,Focus,EDM,0.42,0.34,0.56,0.5,0.08,0.98,0.47,141,-32,214,41,13,1,0
U007,18,Other,Yes,Night,Relaxed,Bollywood,0.6,0.63,0.75,0.3,0.16,0.23,0.57,122,-14,260,84,21,10,0
U007,18,Other,Yes,Afternoon,Happy,Lo-fi,0.76,0.42,0.23,0.55,0.15,0.89,0.99,75,-12,128,10,21,1,1
U007,18,Other,Yes,Evening,Happy,Pop,0.31,0.74,0.11,0.51,0.3,0.62,0.67,183,-3,244,3,0,13,0
U008,25,Male,No,Afternoon,Gym,Bollywood,0.83,0.92,0.2,0.1,0.12,0.19,0.53,150,-28,323,51,2,11,0
U008,25,Male,No,Night,Sad,Rock,0.3,0.72,0.86,0.65,0.69,0.76,0.09,157,-21,261,61,1,0,1
U008,25,Male,No,Afternoon,Focus,Pop,0.68,0.4,0.98,0.97,0.72,0.92,0.23,181,-28,131,10,21,8,1
U008,25,Male,No,Morning,Gym,Hip-Hop,0.38,0.97,0.63,0.75,0.57,0.4,0.08,101,-9,181,73,12,10,0
U008,25,Male,No,Evening,Gym,EDM,0.98,0.15,0.49,0.84,0.27,0.77,0.95,161,-25,127,82,8,14,0
U008,25,Male,No,Evening,Gym,Jazz,0.44,0.27,0.63,0.38,0.62,0.3,0.25,78,-40,188,20,12,4,0
U008,25,Male,No,Evening,Focus,Rock,0.1,0.38,0.42,0.27,0.11,0.19,0.45,191,-19,146,4,2,11,0
U008,25,Male,No,Evening,Relaxed,Classical,0.11,0.47,0.8,0.72,0.45,0.99,0.24,193,-35,295,49,5,4,0
U008,25,Male,No,Morning,Sad,Classical,0.16,0.49,0.48,0.48,0.06,0.25,0.25,186,-7,277,26,14,3,1
U008,25,Male,No,Afternoon,Gym,Jazz,0.4,0.66,0.82,0.33,0.27,0.82,0.86,94,-26,202,78,22,6,1
U008,25,Male,No,Night,Focus,Pop,0.97,0.36,0.73,0.49,0.46,0.24,0.38,160,-22,149,73,6,5,0
U008,25,Male,No,Morning,Gym,Lo-fi,0.29,0.82,0.85,0.07,0.68,0.8,0.67,95,-5,197,31,8,4,0
U008,25,Male,No,Evening,Happy,EDM,0.64,0.62,0.58,0.92,0.7,0.42,0.04,152,-1,349,69,19,2,0
U008,25,Male,No,Night,Gym,Jazz,0.65,0.61,0.68,0.65,0.77,0.33,0.8,87,-45,145,34,7,7,0
U008,25,Male,No,Night,Relaxed,Jazz,0.71,0.72,0.24,1.0,0.39,0.3,0.92,81,-38,332,94,4,11,0
U008,25,Male,No,Afternoon,Sad,EDM,0.57,0.41,0.19,0.72,0.36,0.07,0.04,89,-44,337,44,20,3,1
U008,25,Male,No,Night,Focus,Lo-fi,0.4,0.48,0.52,0.8,0.5,0.19,0.66,161,-44,308,79,6,14,0
U008,25,Male,No,Night,Gym,Jazz,0.29,0.35,0.73,0.8,0.46,0.8,0.54,153,-25,170,59,3,8,0
U008,25,Male,No,Afternoon,Relaxed,Rock,0.63,0.41,0.86,0.62,0.65,0.71,0.3,81,-2,154,41,3,7,0
U008,25,Male,No,Night,Sad,Jazz,0.23,0.45,0.64,0.57,0.34,0.49,0.54,104,-10,162,63,9,4,0
U009,43,Female,Yes,Morning,Sad,Classical,0.54,0.28,0.45,0.56,0.52,0.41,0.49,173,-14,162,11,18,0,1
U009,43,Female,Yes,Night,Gym,EDM,0.58,0.25,0.51,0.74,0.61,0.55,0.11,89,-28,318,70,11,1,0
U009,43,Female,Yes,Afternoon,Focus,Lo-fi,0.85,0.78,0.37,1.0,0.36,0.35,0.82,172,-38,318,31,6,11,0
U009,43,Female,Yes,Morning,Sad,Lo-fi,0.81,0.83,0.82,0.57,0.43,0.6,0.17,134,-27,266,35,16,3,1
U009,43,Female,Yes,Night,Gym,Lo-fi,0.88,0.21,0.88,0.25,0.57,0.83,0.76,160,-14,156,74,20,8,0
U009,43,Female,Yes,Morning,Gym,Jazz,0.82,0.79,0.46,0.75,0.56,0.88,0.45,184,-25,268,1,24,2,1
U009,43,Female,Yes,Morning,Happy,Pop,0.46,0.97,0.84,0.49,0.26,0.28,0.55,93,-9,338,63,25,10,0
U009,43,Female,Yes,Morning,Relaxed,Classical,0.85,0.11,0.94,0.16,0.37,0.99,0.43,93,-4,197,21,8,2,0
U009,43,Female,Yes,Night,Focus,EDM,0.91,0.25,0.46,0.31,0.56,0.23,0.66,84,-45,174,62,2,4,0
U009,43,Female,Yes,Afternoon,Gym,Hip-Hop,0.73,0.84,0.99,0.42,0.11,0.07,0.38,86,-39,200,48,9,4,0
U009,43,Female,Yes,Evening,Focus,Lo-fi,0.61,0.65,0.25,0.35,0.17,0.75,0.92,173,-32,142,13,4,3,1
U009,43,Female,Yes,Morning,Gym,Classical,0.38,0.23,0.35,0.08,0.44,0.6,0.61,66,-3,344,39,6,6,1
U009,43,Female,Yes,Evening,Focus,Lo-fi,0.81,0.32,0.45,0.24,0.51,0.07,0.89,63,-22,359,41,4,12,0
U009,43,Female,Yes,Morning,Gym,Lo-fi,0.26,0.52,0.99,0.07,0.47,0.01,0.22,75,-20,249,37,20,13,0
U009,43,Female,Yes,Afternoon,Relaxed,Lo-fi,0.58,0.24,0.18,0.08,0.74,0.97,0.16,143,-20,270,82,24,2,0
U009,43,Female,Yes,Evening,Sad,Bollywood,0.18,0.49,0.51,0.61,0.25,0.74,0.74,90,-45,301,18,22,0,1
U009,43,Female,Yes,Night,Relaxed,Rock,0.8,0.75,0.25,0.13,0.62,0.27,0.89,67,-24,326,55,8,2,0
U009,43,Female,Yes,Morning,Happy,EDM,0.42,0.55,0.61,0.37,0.2,0.1,0.57,89,-31,309,66,0,1,0
U009,43,Female,Yes,Evening,Relaxed,Rock,0.44,0.24,0.94,0.86,0.44,0.91,0.74,167,-31,202,32,13,10,0
U009,43,Female,Yes,Afternoon,Happy,Jazz,0.71,0.15,0.3,0.52,0.04,0.4,0.88,132,-26,203,12,17,14,0
U010,41,Female,Yes,Morning,Focus,Jazz,0.52,0.63,0.54,0.77,0.16,0.9,0.76,122,-36,121,53,0,7,0
U010,41,Female,Yes,Night,Happy,EDM,0.1,0.69,0.86,0.73,0.08,0.53,0.24,185,-42,156,92,8,2,0
U010,41,Female,Yes,Night,Relaxed,Jazz,0.44,0.98,0.18,0.1,0.11,0.82,0.07,75,-18,289,17,7,9,0
U010,41,Female,Yes,Evening,Gym,Rock,0.76,0.39,0.34,0.07,0.16,0.78,0.58,99,-39,162,58,14,10,0
U010,41,Female,Yes,Night,Sad,Jazz,0.29,0.38,0.34,0.12,0.13,0.69,0.83,70,-32,333,42,4,2,0
U010,41,Female,Yes,Morning,Happy,Pop,0.71,0.33,0.99,0.03,0.32,0.45,0.75,123,-39,238,14,25,4,1
U010,41,Female,Yes,Evening,Sad,Rock,0.98,0.22,0.84,0.37,0.5,0.64,0.58,126,-41,125,9,6,14,0
U010,41,Female,Yes,Afternoon,Relaxed,Bollywood,0.95,0.15,0.93,0.43,0.58,0.5,0.38,169,-34,210,28,5,8,0
U010,41,Female,Yes,Night,Focus,Pop,0.66,0.32,0.37,0.41,0.44,0.06,0.28,95,-19,171,83,25,7,1
U010,41,Female,Yes,Evening,Happy,Bollywood,0.42,0.59,0.54,0.91,0.4,0.39,0.18,141,-7,176,4,25,8,1
U010,41,Female,Yes,Evening,Sad,EDM,1.0,0.98,0.19,0.66,0.21,0.82,0.92,74,-31,267,50,11,5,0
U010,41,Female,Yes,Morning,Happy,Rock,0.73,0.92,0.13,0.7,0.76,0.56,0.56,108,-14,258,40,5,15,0
U010,41,Female,Yes,Morning,Happy,Jazz,0.3,0.57,0.1,0.92,0.16,0.13,0.72,142,-42,125,19,18,4,1
U010,41,Female,Yes,Night,Sad,Hip-Hop,0.95,0.46,0.19,0.3,0.11,0.16,0.95,184,-4,201,23,22,11,0
U010,41,Female,Yes,Night,Focus,Rock,0.72,0.21,0.76,0.95,0.76,0.39,0.99,68,-34,274,41,25,7,0
U010,41,Female,Yes,Evening,Happy,Jazz,0.77,0.31,0.98,0.17,0.71,0.09,0.71,145,-17,122,34,6,7,0
U010,41,Female,Yes,Morning,Sad,Bollywood,0.75,0.14,0.49,0.42,0.13,0.41,0.88,149,-11,216,13,15,7,1
U010,41,Female,Yes,Afternoon,Happy,Lo-fi,0.13,0.12,0.34,0.1,0.27,0.89,0.16,79,-10,349,12,10,15,0
U010,41,Female,Yes,Night,Happy,Pop,0.49,0.15,0.4,0.97,0.33,0.55,0.93,198,-29,289,37,9,7,0
U010,41,Female,Yes,Morning,Happy,Bollywood,0.86,0.24,0.42,0.43,0.24,0.66,0.6,111,-39,126,27,5,9,0
U011,28,Female,No,Afternoon,Relaxed,Pop,0.91,0.34,0.68,0.39,0.3,0.38,0.19,71,-29,232,60,8,7,0
U011,28,Female,No,Night,Focus,EDM,0.7,0.18,0.41,0.54,0.78,0.59,0.55,159,-12,227,69,21,15,0
U011,28,Female,No,Afternoon,Sad,EDM,0.46,0.87,0.13,0.57,0.41,0.57,0.98,97,-38,313,58,5,5,0
U011,28,Female,No,Morning,Relaxed,Bollywood,0.17,0.71,0.28,0.82,0.12,0.6,0.32,77,-40,219,72,12,10,0
